age,education,sex,relationship,marital-status,income
34.0,HS-grad,Male,Not-in-family,Separated,<=50K
45.0,HS-grad,Female,Not-in-family,Widowed,<=50K
42.0,HS-grad,Female,Not-in-family,Never-married,<=50K
26.0,HS-grad,Female,Own-child,Never-married,<=50K
43.0,10th,Female,Wife,Married-civ-spouse,<=50K
33.0,Some-college,Male,Own-child,Never-married,<=50K
29.0,Assoc-voc,Male,Husband,Married-civ-spouse,>50K
24.0,Some-college,Male,Own-child,Never-married,<=50K
27.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
30.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
32.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
46.0,Doctorate,Male,Husband,Married-civ-spouse,>50K
39.0,Masters,Female,Not-in-family,Never-married,>50K
51.0,Some-college,Male,Other-relative,Married-civ-spouse,<=50K
63.0,HS-grad,Female,Not-in-family,Divorced,>50K
32.0,HS-grad,Female,Wife,Married-civ-spouse,>50K
60.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
42.0,HS-grad,Female,Own-child,Never-married,<=50K
31.0,HS-grad,Female,Unmarried,Never-married,<=50K
40.0,1st-4th,Male,Not-in-family,Divorced,>50K
41.0,Some-college,Female,Not-in-family,Never-married,<=50K
28.0,Bachelors,Male,Not-in-family,Divorced,<=50K
53.0,1st-4th,Female,Not-in-family,Divorced,<=50K
18.0,HS-grad,Male,Not-in-family,Never-married,<=50K
52.0,Some-college,Female,Not-in-family,Never-married,<=50K
58.0,Some-college,Male,Husband,Married-civ-spouse,>50K
41.0,Some-college,Female,Own-child,Married-civ-spouse,<=50K
51.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
44.0,7th-8th,Male,Husband,Married-civ-spouse,<=50K
41.0,HS-grad,Female,Unmarried,Never-married,<=50K
19.0,Some-college,Female,Own-child,Never-married,<=50K
35.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
44.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
54.0,1st-4th,Male,Unmarried,Never-married,<=50K
20.0,Some-college,Male,Own-child,Never-married,<=50K
67.0,HS-grad,Male,Not-in-family,Divorced,<=50K
42.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
37.0,11th,Male,Husband,Married-civ-spouse,<=50K
52.0,Bachelors,Male,Not-in-family,Divorced,<=50K
74.0,Assoc-voc,Female,Other-relative,Never-married,>50K
53.0,Some-college,Male,Own-child,Never-married,<=50K
27.0,Some-college,Male,Unmarried,Separated,<=50K
39.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
43.0,Prof-school,Male,Husband,Married-civ-spouse,>50K
42.0,Assoc-acdm,Male,Husband,Married-civ-spouse,>50K
37.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
31.0,Bachelors,Male,Own-child,Never-married,<=50K
22.0,Some-college,Female,Own-child,Never-married,<=50K
25.0,HS-grad,Male,Not-in-family,Never-married,<=50K
32.0,Assoc-voc,Female,Wife,Married-civ-spouse,<=50K
43.0,Some-college,Male,Husband,Married-civ-spouse,>50K
39.0,Assoc-acdm,Female,Unmarried,Never-married,<=50K
45.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
33.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
18.0,Some-college,Female,Own-child,Never-married,<=50K
30.0,Assoc-voc,Male,Husband,Married-civ-spouse,>50K
32.0,HS-grad,Female,Not-in-family,Never-married,<=50K
46.0,Bachelors,Male,Not-in-family,Never-married,>50K
30.0,7th-8th,Male,Own-child,Never-married,<=50K
43.0,HS-grad,Female,Unmarried,Divorced,<=50K
19.0,Some-college,Male,Own-child,Never-married,<=50K
45.0,Bachelors,Female,Unmarried,Divorced,>50K
55.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
60.0,10th,Male,Husband,Married-civ-spouse,<=50K
34.0,Bachelors,Male,Not-in-family,Never-married,>50K
22.0,Bachelors,Male,Not-in-family,Never-married,<=50K
35.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
65.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
31.0,Bachelors,Female,Unmarried,Divorced,<=50K
30.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
50.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
36.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
19.0,Some-college,Male,Own-child,Never-married,<=50K
29.0,12th,Male,Husband,Married-civ-spouse,<=50K
57.0,Prof-school,Male,Husband,Married-civ-spouse,>50K
51.0,Doctorate,Male,Husband,Married-civ-spouse,>50K
33.0,Bachelors,Female,Unmarried,Divorced,<=50K
30.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
22.0,Some-college,Male,Own-child,Never-married,<=50K
20.0,Some-college,Male,Own-child,Never-married,<=50K
22.0,Assoc-acdm,Female,Unmarried,Never-married,<=50K
43.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
72.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
23.0,Assoc-voc,Female,Own-child,Never-married,<=50K
59.0,Some-college,Male,Husband,Married-civ-spouse,>50K
43.0,Masters,Male,Husband,Married-civ-spouse,<=50K
46.0,Masters,Male,Husband,Married-civ-spouse,>50K
52.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
22.0,Some-college,Female,Not-in-family,Never-married,<=50K
53.0,Masters,Male,Husband,Married-civ-spouse,>50K
43.0,10th,Male,Husband,Married-civ-spouse,<=50K
62.0,12th,Female,Not-in-family,Separated,<=50K
49.0,Some-college,Male,Husband,Married-civ-spouse,>50K
53.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
49.0,Masters,Male,Husband,Married-civ-spouse,>50K
46.0,HS-grad,Male,Not-in-family,Divorced,<=50K
17.0,12th,Male,Own-child,Never-married,<=50K
40.0,Bachelors,Male,Own-child,Divorced,<=50K
43.0,Some-college,Male,Husband,Married-civ-spouse,>50K
33.0,HS-grad,Male,Not-in-family,Never-married,<=50K
33.0,Bachelors,Male,Own-child,Married-civ-spouse,<=50K
33.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
26.0,HS-grad,Male,Own-child,Never-married,<=50K
35.0,HS-grad,Female,Unmarried,Divorced,<=50K
21.0,Some-college,Male,Own-child,Never-married,<=50K
46.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
37.0,Assoc-acdm,Male,Husband,Married-civ-spouse,>50K
36.0,Assoc-acdm,Male,Husband,Married-civ-spouse,<=50K
34.0,Masters,Male,Husband,Married-civ-spouse,>50K
25.0,Some-college,Male,Not-in-family,Never-married,<=50K
41.0,Prof-school,Male,Husband,Married-civ-spouse,>50K
21.0,HS-grad,Male,Own-child,Never-married,<=50K
27.0,10th,Male,Husband,Married-civ-spouse,<=50K
22.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
29.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
57.0,HS-grad,Female,Unmarried,Divorced,<=50K
41.0,Preschool,Female,Wife,Married-civ-spouse,>50K
40.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
20.0,Some-college,Male,Own-child,Never-married,<=50K
43.0,11th,Male,Husband,Married-civ-spouse,<=50K
34.0,Some-college,Female,Unmarried,Never-married,<=50K
34.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
24.0,HS-grad,Female,Other-relative,Divorced,>50K
30.0,Prof-school,Male,Husband,Married-civ-spouse,>50K
52.0,Masters,Female,Wife,Married-civ-spouse,<=50K
23.0,Some-college,Female,Own-child,Never-married,<=50K
27.0,HS-grad,Female,Own-child,Never-married,<=50K
29.0,Bachelors,Male,Not-in-family,Never-married,<=50K
52.0,Some-college,Male,Not-in-family,Divorced,<=50K
31.0,HS-grad,Female,Not-in-family,Divorced,<=50K
28.0,HS-grad,Male,Not-in-family,Never-married,<=50K
45.0,Bachelors,Female,Not-in-family,Never-married,>50K
24.0,1st-4th,Female,Own-child,Never-married,<=50K
44.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
30.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
45.0,Assoc-voc,Male,Not-in-family,Divorced,<=50K
44.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
36.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
32.0,HS-grad,Male,Own-child,Never-married,<=50K
18.0,Some-college,Female,Own-child,Never-married,<=50K
24.0,Some-college,Male,Not-in-family,Never-married,<=50K
46.0,Some-college,Female,Wife,Married-civ-spouse,>50K
36.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
20.0,Some-college,Female,Own-child,Never-married,<=50K
39.0,10th,Male,Husband,Married-civ-spouse,<=50K
40.0,Masters,Male,Husband,Married-civ-spouse,<=50K
45.0,Masters,Male,Husband,Married-civ-spouse,>50K
89.0,Masters,Male,Own-child,Never-married,<=50K
25.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
24.0,HS-grad,Female,Own-child,Never-married,<=50K
44.0,7th-8th,Female,Not-in-family,Divorced,<=50K
41.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
35.0,HS-grad,Male,Own-child,Never-married,<=50K
21.0,HS-grad,Female,Not-in-family,Never-married,<=50K
34.0,HS-grad,Female,Unmarried,Divorced,<=50K
40.0,Some-college,Male,Own-child,Married-civ-spouse,>50K
25.0,Bachelors,Male,Not-in-family,Never-married,<=50K
27.0,Some-college,Female,Own-child,Never-married,<=50K
64.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
63.0,HS-grad,Female,Not-in-family,Widowed,>50K
51.0,Masters,Male,Husband,Married-civ-spouse,>50K
84.0,11th,Female,Wife,Married-civ-spouse,<=50K
66.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
30.0,Prof-school,Male,Husband,Married-civ-spouse,>50K
29.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
54.0,HS-grad,Female,Not-in-family,Separated,<=50K
46.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
32.0,HS-grad,Male,Not-in-family,Divorced,<=50K
61.0,Some-college,Female,Unmarried,Divorced,<=50K
25.0,Some-college,Female,Own-child,Never-married,<=50K
40.0,Bachelors,Female,Not-in-family,Divorced,<=50K
85.0,HS-grad,Female,Wife,Married-civ-spouse,<=50K
83.0,5th-6th,Female,Wife,Married-civ-spouse,<=50K
20.0,HS-grad,Male,Own-child,Never-married,<=50K
23.0,HS-grad,Female,Not-in-family,Never-married,<=50K
58.0,HS-grad,Female,Not-in-family,Divorced,<=50K
46.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
30.0,HS-grad,Male,Not-in-family,Never-married,<=50K
44.0,Some-college,Female,Wife,Married-civ-spouse,>50K
26.0,HS-grad,Female,Own-child,Never-married,<=50K
42.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
57.0,9th,Male,Husband,Married-civ-spouse,<=50K
74.0,HS-grad,Female,Own-child,Divorced,>50K
24.0,Assoc-acdm,Male,Own-child,Never-married,<=50K
85.0,1st-4th,Female,Wife,Married-civ-spouse,<=50K
36.0,HS-grad,Male,Unmarried,Divorced,<=50K
67.0,HS-grad,Female,Not-in-family,Widowed,<=50K
53.0,Masters,Male,Husband,Married-civ-spouse,>50K
22.0,HS-grad,Female,Not-in-family,Never-married,<=50K
37.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
33.0,11th,Male,Not-in-family,Never-married,<=50K
33.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
64.0,HS-grad,Female,Unmarried,Widowed,<=50K
22.0,Bachelors,Female,Own-child,Never-married,<=50K
44.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
58.0,Bachelors,Female,Not-in-family,Widowed,>50K
22.0,Some-college,Female,Not-in-family,Never-married,<=50K
41.0,HS-grad,Female,Unmarried,Divorced,<=50K
36.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
20.0,Some-college,Male,Own-child,Never-married,<=50K
33.0,Bachelors,Female,Wife,Married-civ-spouse,>50K
43.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
51.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
20.0,Some-college,Male,Own-child,Never-married,<=50K
90.0,Doctorate,Female,Own-child,Divorced,<=50K
28.0,Some-college,Male,Not-in-family,Never-married,<=50K
17.0,HS-grad,Male,Not-in-family,Never-married,<=50K
53.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
34.0,HS-grad,Female,Not-in-family,Never-married,<=50K
28.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
73.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
44.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
59.0,Assoc-acdm,Male,Not-in-family,Divorced,<=50K
22.0,Masters,Male,Unmarried,Never-married,<=50K
39.0,Some-college,Male,Husband,Married-civ-spouse,>50K
46.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
31.0,HS-grad,Male,Not-in-family,Never-married,<=50K
42.0,HS-grad,Male,Unmarried,Divorced,<=50K
33.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
43.0,Some-college,Female,Unmarried,Widowed,>50K
25.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
33.0,Some-college,Male,Not-in-family,Divorced,<=50K
69.0,Some-college,Female,Not-in-family,Widowed,<=50K
45.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
47.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
21.0,Some-college,Male,Not-in-family,Never-married,<=50K
51.0,9th,Female,Unmarried,Widowed,<=50K
49.0,Bachelors,Female,Wife,Married-civ-spouse,<=50K
66.0,Bachelors,Female,Not-in-family,Widowed,>50K
42.0,Some-college,Female,Unmarried,Separated,<=50K
39.0,HS-grad,Male,Not-in-family,Divorced,<=50K
54.0,Some-college,Male,Husband,Married-civ-spouse,>50K
52.0,Masters,Male,Husband,Married-civ-spouse,>50K
35.0,Bachelors,Male,Not-in-family,Never-married,<=50K
41.0,11th,Female,Not-in-family,Divorced,<=50K
58.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
40.0,9th,Male,Husband,Married-civ-spouse,>50K
32.0,Bachelors,Male,Not-in-family,Divorced,>50K
36.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
24.0,Assoc-acdm,Male,Own-child,Never-married,<=50K
31.0,Some-college,Male,Husband,Married-civ-spouse,>50K
34.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
45.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
31.0,Masters,Female,Unmarried,Divorced,>50K
78.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
25.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
32.0,HS-grad,Female,Unmarried,Divorced,<=50K
66.0,10th,Male,Husband,Married-civ-spouse,<=50K
18.0,Some-college,Female,Other-relative,Never-married,<=50K
41.0,HS-grad,Male,Own-child,Divorced,<=50K
22.0,Some-college,Male,Not-in-family,Never-married,<=50K
39.0,Some-college,Female,Wife,Married-civ-spouse,<=50K
21.0,9th,Male,Own-child,Never-married,<=50K
61.0,Prof-school,Male,Husband,Married-civ-spouse,<=50K
49.0,HS-grad,Female,Not-in-family,Married-spouse-absent,<=50K
39.0,5th-6th,Male,Own-child,Married-civ-spouse,<=50K
31.0,Some-college,Female,Own-child,Never-married,<=50K
50.0,Masters,Male,Husband,Married-civ-spouse,>50K
20.0,11th,Female,Own-child,Never-married,<=50K
19.0,11th,Male,Own-child,Never-married,<=50K
18.0,11th,Female,Own-child,Never-married,<=50K
62.0,HS-grad,Female,Not-in-family,Widowed,<=50K
33.0,HS-grad,Male,Not-in-family,Divorced,<=50K
29.0,11th,Male,Not-in-family,Divorced,<=50K
23.0,HS-grad,Male,Own-child,Never-married,<=50K
53.0,HS-grad,Female,Unmarried,Divorced,<=50K
29.0,Assoc-acdm,Male,Not-in-family,Never-married,<=50K
22.0,10th,Male,Unmarried,Never-married,<=50K
21.0,Some-college,Male,Own-child,Never-married,<=50K
28.0,7th-8th,Male,Husband,Married-civ-spouse,<=50K
86.0,11th,Female,Not-in-family,Widowed,<=50K
41.0,10th,Male,Husband,Married-civ-spouse,>50K
46.0,Some-college,Male,Husband,Married-civ-spouse,>50K
41.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
41.0,Assoc-acdm,Male,Husband,Married-civ-spouse,>50K
23.0,HS-grad,Female,Not-in-family,Never-married,<=50K
60.0,Some-college,Female,Other-relative,Married-civ-spouse,<=50K
43.0,Prof-school,Male,Husband,Married-civ-spouse,>50K
45.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
70.0,5th-6th,Male,Husband,Married-civ-spouse,>50K
21.0,Some-college,Female,Not-in-family,Never-married,<=50K
50.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
41.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
22.0,Bachelors,Female,Unmarried,Never-married,<=50K
31.0,HS-grad,Female,Not-in-family,Widowed,<=50K
70.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
38.0,Some-college,Female,Own-child,Never-married,<=50K
28.0,7th-8th,Female,Wife,Married-civ-spouse,<=50K
48.0,Some-college,Male,Not-in-family,Divorced,<=50K
34.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
64.0,Some-college,Male,Husband,Married-civ-spouse,>50K
47.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
62.0,Some-college,Male,Unmarried,Never-married,<=50K
44.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
33.0,9th,Male,Own-child,Never-married,<=50K
59.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
22.0,Bachelors,Female,Not-in-family,Never-married,<=50K
42.0,HS-grad,Male,Not-in-family,Never-married,<=50K
35.0,Some-college,Male,Husband,Married-civ-spouse,>50K
22.0,Some-college,Male,Not-in-family,Never-married,<=50K
70.0,HS-grad,Female,Unmarried,Married-spouse-absent,<=50K
55.0,Some-college,Male,Husband,Married-civ-spouse,>50K
26.0,11th,Male,Own-child,Never-married,<=50K
60.0,HS-grad,Female,Not-in-family,Divorced,>50K
44.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
56.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
45.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
35.0,HS-grad,Male,Not-in-family,Married-spouse-absent,<=50K
21.0,HS-grad,Female,Unmarried,Never-married,<=50K
32.0,HS-grad,Male,Not-in-family,Never-married,<=50K
19.0,11th,Male,Own-child,Divorced,<=50K
59.0,HS-grad,Female,Not-in-family,Widowed,<=50K
42.0,HS-grad,Male,Not-in-family,Never-married,<=50K
63.0,Prof-school,Male,Husband,Married-civ-spouse,>50K
35.0,Bachelors,Female,Unmarried,Divorced,<=50K
27.0,Bachelors,Female,Own-child,Never-married,<=50K
59.0,HS-grad,Female,Wife,Married-civ-spouse,<=50K
35.0,Some-college,Male,Husband,Married-civ-spouse,>50K
26.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
58.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
33.0,7th-8th,Female,Wife,Married-civ-spouse,<=50K
19.0,12th,Male,Own-child,Never-married,<=50K
34.0,Masters,Male,Husband,Married-civ-spouse,>50K
17.0,Some-college,Male,Not-in-family,Never-married,<=50K
63.0,Some-college,Female,Not-in-family,Divorced,<=50K
35.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
44.0,Some-college,Male,Husband,Married-civ-spouse,>50K
36.0,Some-college,Female,Wife,Never-married,<=50K
51.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
36.0,HS-grad,Female,Unmarried,Divorced,<=50K
36.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
34.0,HS-grad,Male,Not-in-family,Separated,<=50K
50.0,Masters,Male,Husband,Married-civ-spouse,>50K
27.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
31.0,HS-grad,Female,Not-in-family,Divorced,<=50K
58.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
61.0,9th,Male,Own-child,Never-married,<=50K
21.0,Some-college,Female,Own-child,Never-married,<=50K
51.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
49.0,Assoc-voc,Female,Unmarried,Separated,<=50K
32.0,HS-grad,Male,Own-child,Never-married,<=50K
57.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
21.0,HS-grad,Male,Own-child,Never-married,<=50K
30.0,Bachelors,Female,Own-child,Never-married,<=50K
57.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
64.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
33.0,Masters,Male,Husband,Married-civ-spouse,>50K
27.0,7th-8th,Female,Not-in-family,Never-married,<=50K
33.0,Assoc-voc,Female,Unmarried,Divorced,<=50K
30.0,10th,Male,Husband,Married-civ-spouse,<=50K
26.0,HS-grad,Female,Unmarried,Married-spouse-absent,<=50K
40.0,Masters,Male,Husband,Married-civ-spouse,<=50K
23.0,HS-grad,Female,Not-in-family,Never-married,<=50K
20.0,Some-college,Male,Not-in-family,Never-married,<=50K
20.0,HS-grad,Male,Own-child,Never-married,<=50K
20.0,Some-college,Female,Own-child,Never-married,<=50K
39.0,HS-grad,Male,Not-in-family,Never-married,<=50K
59.0,Some-college,Male,Not-in-family,Divorced,<=50K
33.0,Some-college,Female,Not-in-family,Divorced,<=50K
32.0,Some-college,Female,Own-child,Divorced,<=50K
39.0,Masters,Female,Not-in-family,Never-married,<=50K
51.0,Masters,Female,Not-in-family,Married-spouse-absent,>50K
29.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
21.0,HS-grad,Male,Not-in-family,Never-married,<=50K
45.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
67.0,Masters,Female,Not-in-family,Divorced,>50K
48.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
78.0,Preschool,Male,Husband,Married-civ-spouse,<=50K
35.0,Bachelors,Male,Not-in-family,Never-married,<=50K
35.0,HS-grad,Male,Not-in-family,Never-married,<=50K
57.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
50.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
49.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
39.0,Prof-school,Male,Husband,Married-civ-spouse,>50K
60.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
39.0,HS-grad,Female,Not-in-family,Never-married,<=50K
44.0,Bachelors,Male,Own-child,Never-married,<=50K
40.0,Bachelors,Male,Not-in-family,Divorced,>50K
51.0,HS-grad,Male,Unmarried,Widowed,<=50K
28.0,Doctorate,Male,Husband,Married-civ-spouse,>50K
46.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
52.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
52.0,7th-8th,Female,Not-in-family,Never-married,<=50K
69.0,10th,Female,Unmarried,Married-spouse-absent,<=50K
25.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
53.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
45.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
29.0,HS-grad,Male,Own-child,Never-married,<=50K
35.0,10th,Male,Husband,Married-civ-spouse,<=50K
27.0,HS-grad,Female,Not-in-family,Never-married,<=50K
36.0,HS-grad,Female,Wife,Married-civ-spouse,<=50K
42.0,Masters,Male,Husband,Married-civ-spouse,>50K
43.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
42.0,10th,Male,Own-child,Never-married,<=50K
18.0,Some-college,Female,Own-child,Never-married,<=50K
28.0,HS-grad,Female,Own-child,Never-married,<=50K
29.0,Bachelors,Male,Not-in-family,Never-married,<=50K
49.0,Bachelors,Female,Wife,Married-civ-spouse,<=50K
34.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
73.0,Bachelors,Female,Not-in-family,Married-AF-spouse,<=50K
54.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
75.0,1st-4th,Female,Not-in-family,Widowed,<=50K
42.0,Some-college,Male,Own-child,Married-civ-spouse,<=50K
52.0,11th,Male,Husband,Married-civ-spouse,<=50K
27.0,Some-college,Male,Unmarried,Never-married,<=50K
75.0,HS-grad,Female,Other-relative,Never-married,>50K
50.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
20.0,11th,Female,Own-child,Never-married,<=50K
27.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
34.0,Some-college,Female,Wife,Married-civ-spouse,>50K
26.0,10th,Male,Husband,Married-civ-spouse,<=50K
56.0,HS-grad,Female,Unmarried,Divorced,<=50K
47.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
20.0,11th,Male,Own-child,Never-married,<=50K
47.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
42.0,10th,Male,Husband,Married-civ-spouse,<=50K
23.0,11th,Male,Own-child,Never-married,<=50K
41.0,HS-grad,Female,Not-in-family,Divorced,<=50K
55.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
36.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
28.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
24.0,Bachelors,Male,Not-in-family,Never-married,<=50K
78.0,7th-8th,Female,Other-relative,Widowed,<=50K
28.0,HS-grad,Male,Own-child,Never-married,<=50K
21.0,Bachelors,Male,Not-in-family,Never-married,<=50K
55.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
68.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
31.0,Some-college,Female,Own-child,Divorced,<=50K
29.0,7th-8th,Female,Own-child,Never-married,<=50K
38.0,HS-grad,Female,Not-in-family,Divorced,<=50K
57.0,HS-grad,Female,Not-in-family,Divorced,<=50K
88.0,Preschool,Male,Other-relative,Separated,>50K
26.0,Assoc-acdm,Male,Husband,Married-civ-spouse,<=50K
46.0,Assoc-acdm,Male,Husband,Married-civ-spouse,<=50K
43.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
29.0,HS-grad,Female,Not-in-family,Never-married,<=50K
46.0,HS-grad,Male,Not-in-family,Married-spouse-absent,<=50K
21.0,HS-grad,Female,Own-child,Separated,<=50K
30.0,HS-grad,Female,Own-child,Divorced,<=50K
33.0,Some-college,Male,Not-in-family,Never-married,<=50K
48.0,Prof-school,Male,Husband,Married-civ-spouse,>50K
38.0,HS-grad,Female,Unmarried,Separated,<=50K
29.0,Masters,Male,Not-in-family,Never-married,<=50K
35.0,HS-grad,Male,Own-child,Married-civ-spouse,<=50K
24.0,Bachelors,Male,Own-child,Separated,<=50K
86.0,Masters,Female,Wife,Married-civ-spouse,<=50K
65.0,9th,Male,Husband,Married-civ-spouse,<=50K
24.0,Some-college,Female,Own-child,Never-married,<=50K
31.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
61.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
72.0,10th,Male,Husband,Married-civ-spouse,<=50K
39.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
47.0,HS-grad,Female,Unmarried,Widowed,<=50K
31.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
46.0,Some-college,Male,Husband,Married-civ-spouse,>50K
45.0,Bachelors,Female,Not-in-family,Never-married,>50K
58.0,Doctorate,Male,Husband,Married-civ-spouse,>50K
40.0,Some-college,Male,Not-in-family,Divorced,<=50K
18.0,HS-grad,Female,Own-child,Never-married,<=50K
39.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
41.0,9th,Female,Not-in-family,Divorced,<=50K
43.0,9th,Male,Not-in-family,Divorced,<=50K
38.0,HS-grad,Male,Not-in-family,Never-married,<=50K
79.0,Bachelors,Female,Wife,Married-civ-spouse,<=50K
24.0,Some-college,Male,Other-relative,Never-married,<=50K
33.0,Some-college,Female,Own-child,Divorced,<=50K
34.0,Masters,Female,Wife,Married-civ-spouse,>50K
27.0,HS-grad,Female,Not-in-family,Never-married,<=50K
